"ArbstedKomm","Tid","sysselsatte"
"3024","2016",0
"3024","2017",0
"3024","2018",0
"3024","2019",0
"3024","2020",73593
"3024","2021",74852
"3024","2022",75720
"3024","2023",76935
"3024","2024",0
"3025","2000",0
"3025","2001",0
"3025","2002",0
"3025","2003",0
"3025","2004",0
"3025","2005",0
"3025","2006",0
"3025","2007",0
"3025","2008",0
"3025","2009",0
"3025","2010",0
"3025","2011",0
"3025","2012",0
"3025","2013",0
"3025","2014",0
"3025","2015",0
"3025","2016",0
"3025","2017",0
"3025","2018",0
"3025","2019",0
"3025","2020",36699
"3025","2021",37678
"3025","2022",38513
"3025","2023",38499
"3025","2024",0
"3026","2000",0
"3026","2001",0
"3026","2002",0
"3026","2003",0
"3026","2004",0
"3026","2005",0
"3026","2006",0
"3026","2007",0
"3026","2008",0
"3026","2009",0
"3026","2010",0
"3026","2011",0
"3026","2012",0
"3026","2013",0
"3026","2014",0
"3026","2015",0
"3026","2016",0
"3026","2017",0
"3026","2018",0
"3026","2019",0
"3026","2020",5600
"3026","2021",5750
"3026","2022",5748
"3026","2023",5762
"3026","2024",0
"3027","2000",0
"3027","2001",0
"3027","2002",0
"3027","2003",0
"3027","2004",0
"3027","2005",0
"3027","2006",0
"3027","2007",0
"3027","2008",0
"3027","2009",0
"3027","2010",0
"3027","2011",0
"3027","2012",0
"3027","2013",0
"3027","2014",0
"3027","2015",0
"3027","2016",0
"3027","2017",0
"3027","2018",0
"3027","2019",0
"3027","2020",3209
"3027","2021",3267
"3027","2022",3303
"3027","2023",3370
"3027","2024",0
"3028","2000",0
"3028","2001",0
"3028","2002",0
"3028","2003",0
"3028","2004",0
"3028","2005",0
"3028","2006",0
"3028","2007",0
"3028","2008",0
"3028","2009",0
"3028","2010",0
"3028","2011",0
"3028","2012",0
"3028","2013",0
"3028","2014",0
"3028","2015",0
"3028","2016",0
"3028","2017",0
"3028","2018",0
"3028","2019",0
"3028","2020",2984
"3028","2021",3129
"3028","2022",3047
"3028","2023",3093
"3028","2024",0
"3029","2000",0
"3029","2001",0
"3029","2002",0
"3029","2003",0
"3029","2004",0
"3029","2005",0
"3029","2006",0
"3029","2007",0
"3029","2008",0
"3029","2009",0
"3029","2010",0
"3029","2011",0
"3029","2012",0
"3029","2013",0
"3029","2014",0
"3029","2015",0
"3029","2016",0
"3029","2017",0
"3029","2018",0
"3029","2019",0
"3029","2020",22838
"3029","2021",23555
"3029","2022",24080
"3029","2023",24892
"3029","2024",0
"3030","2000",0
"3030","2001",0
"3030","2002",0
"3030","2003",0
"3030","2004",0
"3030","2005",0
"3030","2006",0
"3030","2007",0
"3030","2008",0
"3030","2009",0
"3030","2010",0
"3030","2011",0
"3030","2012",0
"3030","2013",0
"3030","2014",0
"3030","2015",0
"3030","2016",0
"3030","2017",0
"3030","2018",0
"3030","2019",0
"3030","2020",40440
"3030","2021",42131
"3030","2022",43136
"3030","2023",43072
"3030","2024",0
"3031","2000",0
"3031","2001",0
"3031","2002",0
"3031","2003",0
"3031","2004",0
"3031","2005",0
"3031","2006",0
"3031","2007",0
"3031","2008",0
"3031","2009",0
"3031","2010",0
"3031","2011",0
"3031","2012",0
"3031","2013",0
"3031","2014",0
"3031","2015",0
"3031","2016",0
"3031","2017",0
"3031","2018",0
"3031","2019",0
"3031","2020",7876
"3031","2021",8115
"3031","2022",8399
"3031","2023",8684
"3031","2024",0
"3032","2000",0
"3032","2001",0
"3032","2002",0
"3032","2003",0
"3032","2004",0
